id,item_code,stock_id,description,category_id,quantity,is_foreign,inactive
63,HFFLO28,HFFLO28,"Golden Tower,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
64,HFFLO29,HFFLO29,"High & Magic,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
65,HFFLO30,HFFLO30,"High & Magic,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
66,HFFLO31,HFFLO31,"High & Magic,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
67,HFFLO32,HFFLO32,"High & Magic,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
68,HFFLO33,HFFLO33,"James Bond,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
69,HFFLO34,HFFLO34,"James Bond,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
70,HFFLO35,HFFLO35,"James Bond,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
71,HFFLO36,HFFLO36,"James Bond,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
72,HFFLO37,HFFLO37,"Jumilla,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
73,HFFLO38,HFFLO38,"Jumilla,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
74,HFFLO39,HFFLO39,"Jumilla,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
75,HFFLO40,HFFLO40,"Jumilla,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
76,HFFLO41,HFFLO41,"Kingsday,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
77,HFFLO42,HFFLO42,"Kingsday,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
78,HFFLO43,HFFLO43,"Kingsday,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
79,HFFLO44,HFFLO44,"Kingsday,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
80,HFFLO45,HFFLO45,"Labelle,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
81,HFFLO46,HFFLO46,"Labelle,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
82,HFFLO47,HFFLO47,"Labelle,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
83,HFFLO48,HFFLO48,"Labelle,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
84,HFFLO49,HFFLO49,"Lampion,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
85,HFFLO50,HFFLO50,"Lampion,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
86,HFFLO51,HFFLO51,"Lampion,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
87,HFFLO52,HFFLO52,"Lampion,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
88,HFFLO53,HFFLO53,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
89,HFFLO54,HFFLO54,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
