id,item_code,stock_id,description,category_id,quantity,is_foreign,inactive
108,HFFE016,HFFE016,Mono Ammonium Phosphate,1,1,1,0
109,HFFE017,HFFE017,NPK 0-52-34 M K P 25Kgs,1,1,1,0
110,HFFE018,HFFE018,Potassium Nitrate 25Kg,1,1,1,0
111,HFFE019,HFFE019,CropNutrient Silicon Foliar Fertilizer 500Ml,1,1,1,0
112,HFFE020,HFFE020,EACBL Trufert Humi,1,1,1,0
113,ROSES VARIETIES,ROSES VARIETIES,,1,1,1,0
114,HFFL01,HFFL01,"Athena,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
115,HFFL02,HFFL02,"Athena,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
116,HFFL04,HFFL04,"Athena,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
117,HFFL05,HFFL05,"Bellerose,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
118,HFFL06,HFFL06,"Bellerose,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
119,HFFL10,HFFL10,"Carise,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
120,HFFL101,HFFL101,"Top Gear,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
121,HFFL102,HFFL102,"Top Gear,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
122,HFFL17,HFFL17,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
123,HFFL18,HFFL18,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
124,HFFL21,HFFL21,"Event,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
125,HFFL30,HFFL30,"High & Magic,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
126,HFFL38,HFFL38,"Jumilla,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
127,HFFL42,HFFL42,"Kingsday,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
128,HFFL45,HFFL45,"Labelle,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
129,HFFL46,HFFL46,"Labelle,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
130,HFFL49,HFFL49,"Lampion,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
131,HFFL50,HFFL50,"Lampion,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
132,HFFL53,HFFL53,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
133,HFFL54,HFFL54,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
134,HFFL55,HFFL55,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
135,HFFL57,HFFL57,"Madam Red,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
136,HFFL58,HFFL58,"Madam Red,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
137,HFFL59,HFFL59,"Madam Red,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
138,HFFL60,HFFL60,"Madam Red,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
139,HFFL73,HFFL73,"Movie Star,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
140,HFFL74,HFFL74,"Movie Star,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
141,HFFL81,HFFL81,"Nightingale,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
142,HFFL82,HFFL82,"Nightingale,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
143,HFFL89,HFFL89,"Revival,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
144,HFFLO01,HFFLO01,"Athena,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
145,HFFLO02,HFFLO02,"Athena,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
146,HFFLO03,HFFLO03,"Athena,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
147,HFFLO04,HFFLO04,"Athena,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
148,HFFLO05,HFFLO05,"Bellerose,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
149,HFFLO06,HFFLO06,"Bellerose,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
150,HFFLO07,HFFLO07,"Bellerose,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
151,HFFLO08,HFFLO08,"Bellerose,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
152,HFFLO09,HFFLO09,"Carise,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
153,HFFLO10,HFFLO10,"Carise,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
154,HFFLO100,HFFLO100,"Sunny Confidential,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
155,HFFLO101,HFFLO101,"Top Gear,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
156,HFFLO102,HFFLO102,"Top Gear,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
157,HFFLO103,HFFLO103,"Top Gear,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
158,HFFLO104,HFFLO104,"Top Gear,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
159,HFFLO11,HFFLO11,"Carise,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
160,HFFLO12,HFFLO12,"Carise,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
161,HFFLO13,HFFLO13,"Carodanal,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
162,HFFLO14,HFFLO14,"Carodanal,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
163,HFFLO15,HFFLO15,"Carodanal,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
164,HFFLO16,HFFLO16,"Carodanal,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
165,HFFLO17,HFFLO17,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
166,HFFLO18,HFFLO18,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
167,HFFLO19,HFFLO19,"Copa Cabana,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
168,HFFLO20,HFFLO20,"Copa Cabana,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
169,HFFLO21,HFFLO21,"Event,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
170,HFFLO22,HFFLO22,"Event,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
171,HFFLO23,HFFLO23,"Event,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
172,HFFLO24,HFFLO24,"Event,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
173,HFFLO25,HFFLO25,"Golden Tower,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
174,HFFLO26,HFFLO26,"Golden Tower,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
175,HFFLO27,HFFLO27,"Golden Tower,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
176,HFFLO28,HFFLO28,"Golden Tower,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
177,HFFLO29,HFFLO29,"High & Magic,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
178,HFFLO30,HFFLO30,"High & Magic,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
