stock_id,category_id,tax_type_id,description,long_description,units,mb_flag,sales_account,cogs_account,inventory_account,adjustment_account,wip_account,dimension_id,dimension2_id,purchase_cost,material_cost,labour_cost,overhead_cost,inactive,no_sale,no_purchase,editable,depreciation_method,depreciation_rate,depreciation_factor,depreciation_start,depreciation_date,fa_class_id
HFCH42,1,1,Piranah 200SC,Piranah 200SC,,B,4010,5010,1510,5040,1530,0,0,40,,,,,,,,,,,,,
HFCH43,1,1,IProde 500SC 1Lt,IProde 500SC 1Lt,,B,4010,5010,1510,5040,1530,0,0,22,,,,,,,,,,,,,
HFCH44,1,1,PYRIMEC 1KG,PYRIMEC 1KG,,B,4010,5010,1510,5040,1530,0,0,21,,,,,,,,,,,,,
HFCH45,1,1,Revus 1Lts,Revus 1Lts,,B,4010,5010,1510,5040,1530,0,0,75,,,,,,,,,,,,,
HFCH46,1,1,Ringo,Ringo,,B,4010,5010,1510,5040,1530,0,0,80,,,,,,,,,,,,,
HFCH47,1,1,Rova 1ltr,Rova 1ltr,,B,4010,5010,1510,5040,1530,0,0,10.5,,,,,,,,,,,,,
HFCH48,1,1,Rova 75 WP Kg,Rova 75 WP Kg,,B,4010,5010,1510,5040,1530,0,0,10.5,,,,,,,,,,,,,
HFCH49,1,1,Spirox,Spirox,,B,4010,5010,1510,5040,1530,0,0,55,,,,,,,,,,,,,
HFCH50,1,1,Splendor 500EC 1Ltr,Splendor 500EC 1Ltr,,B,4010,5010,1510,5040,1530,0,0,40,,,,,,,,,,,,,
HFCH51,1,1,Strobine Extra 1Lt,Strobine Extra 1Lt,,B,4010,5010,1510,5040,1530,0,0,85,,,,,,,,,,,,,
HFCH52,1,1,Sulfolac 80% WG -25Kg,Sulfolac 80% WG -25Kg,,B,4010,5010,1510,5040,1530,0,0,2.7,,,,,,,,,,,,,
HFCH53,1,1,Sword,Sword,,B,4010,5010,1510,5040,1530,0,0,45,,,,,,,,,,,,,
HFCH54,1,1,Tog 10-10Ltr,Tog 10-10Ltr,,B,4010,5010,1510,5040,1530,0,0,7.5,,,,,,,,,,,,,
HFCH55,1,1,Tog 6,Tog 6,,B,4010,5010,1510,5040,1530,0,0,10,,,,,,,,,,,,,
HFCH56,1,1,Zodiac 50 WDG 1Kg,Zodiac 50 WDG 1Kg,,B,4010,5010,1510,5040,1530,0,0,42,,,,,,,,,,,,,
HFCH57,1,1,Tyfos 20L,Tyfos 20L,,B,4010,5010,1510,5040,1530,0,0,11,,,,,,,,,,,,,
HFCH58,1,1,AGRILAX 1KG,AGRILAX 1KG,,B,4010,5010,1510,5040,1530,0,0,9.5,,,,,,,,,,,,,
HFCH59,1,1,Monument 400EC 1Lt,Monument 400EC 1Lt,,B,4010,5010,1510,5040,1530,0,0,28,,,,,,,,,,,,,
HFCH60,1,1,Plantoc 1Ltr,Plantoc 1Ltr,,B,4010,5010,1510,5040,1530,0,0,10,,,,,,,,,,,,,
HFCH61,1,1,Switch 62.5 WG,Switch 62.5 WG,,B,4010,5010,1510,5040,1530,0,0,94,,,,,,,,,,,,,
HFCH62,1,1,Lotus 75 %,Lotus 75 %,,B,4010,5010,1510,5040,1530,0,0,12,,,,,,,,,,,,,
HFCH63,1,1,Sustain,Sustain,,B,4010,5010,1510,5040,1530,0,0,14,,,,,,,,,,,,,
HFCH64,1,1,Cliff 10 SE,Cliff 10 SE,,B,4010,5010,1510,5040,1530,0,0,18,,,,,,,,,,,,,
HFCH65,1,1,Camel Plus,Camel Plus,,B,4010,5010,1510,5040,1530,0,0,35,,,,,,,,,,,,,
HFCH66,1,1,Proffesor-K,Proffesor-K,,B,4010,5010,1510,5040,1530,0,0,11,,,,,,,,,,,,,
HFCH67,1,1,Biomin F,Biomin F,,B,4010,5010,1510,5040,1530,0,0,18,,,,,,,,,,,,,
HFCH68,1,1,Afifen 10.8 % EG,Afifen 10.8 % EG,,B,4010,5010,1510,5040,1530,0,0,34,,,,,,,,,,,,,
HFCH69,1,1,Mastercop 60 SC,Mastercop 60 SC,,B,4010,5010,1510,5040,1530,0,0,25,,,,,,,,,,,,,
HFCH70,1,1,Super U Trichoderma,Super U Trichoderma,,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFCH71,1,1,Avengelus Super C,Avengelus Super C,,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFCH72,1,1,Avengelus Basic,Avengelus Basic,,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFCH73,1,1,Prominent,Prominent,,B,4010,5010,1510,5040,1530,0,0,10,,,,,,,,,,,,,
HFCH74,1,1,Boron,Boron,,B,4010,5010,1510,5040,1530,0,0,2.3,,,,,,,,,,,,,
HFCH75,1,1,Hicure,Hicure,,B,4010,5010,1510,5040,1530,0,0,28,,,,,,,,,,,,,
HFCH76,1,1,Contest,Contest,,B,4010,5010,1510,5040,1530,0,0,65,,,,,,,,,,,,,
HFCH77,1,1,Myriad,Myriad,,B,4010,5010,1510,5040,1530,0,0,14,,,,,,,,,,,,,
HFCH78,1,1,Reason,Reason,,B,4010,5010,1510,5040,1530,0,0,9.5,,,,,,,,,,,,,
HFFA01,1,1,Lamination Machine A4,Lamination Machine,,B,4010,5010,1510,5040,1530,0,0,8910,,,,,,,,,,,,,
HFFA02,1,1,Lamination Pouch A4,Lamination Pouch A4,,B,4010,5010,1510,5040,1530,0,0,930,,,,,,,,,,,,,
HFFE001,1,1,Souvenir 25kg,Souvenir 25kg,,B,4010,5010,1510,5040,1530,0,0,62.5,,,,,,,,,,,,,
HFFE002,1,1,Neptune Onion Seed,Neptune Onion Seed,,B,4010,5010,1510,5040,1530,0,0,20500,,,,,,,,,,,,,
HFFE003,1,1,Citric Acid,Citric Acid,,B,4010,5010,1510,5040,1530,0,0,1.5,,,,,,,,,,,,,
HFFE004,1,1,Sulphuruc Acid,Sulphuruc Acid,,B,4010,5010,1510,5040,1530,0,0,0.36,,,,,,,,,,,,,
HFFE005,1,1,Oligo Nila Premium 25Kg,Oligo Nila Premium 25Kg,,B,4010,5010,1510,5040,1530,0,0,162.5,,,,,,,,,,,,,
HFFE006,1,1,MKP,MKP,,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFE007,1,1,MKP China,MKP China,,B,4010,5010,1510,5040,1530,0,0,1.4,,,,,,,,,,,,,
HFFE008,1,1,Aluminium Sulphate,Aluminium Sulphate,,B,4010,5010,1510,5040,1530,0,0,0.38,,,,,,,,,,,,,
HFFE009,1,1,Sulphur Gold 25Kg,Sulphur Gold 25Kg,,B,4010,5010,1510,5040,1530,0,0,62.5,,,,,,,,,,,,,
HFFE010,1,1,Calcium Nitrate,Calcium Nitrate,,B,4010,5010,1510,5040,1530,0,0,0.4,,,,,,,,,,,,,
