*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
HFCH59,Monument 400EC 1Lt,Monument 400EC 1Lt,28,,Tax on Purchases,,0,,,632,301
HFCH60,Plantoc 1Ltr,Plantoc 1Ltr,10,,Tax on Purchases,,0,,,632,301
HFCH61,Switch 62.5 WG,Switch 62.5 WG,94,,Tax on Purchases,,0,,,632,301
HFCH62,Lotus 75 %,Lotus 75 %,12,,Tax on Purchases,,0,,,632,301
HFCH63,Sustain,Sustain,14,,Tax on Purchases,,0,,,632,301
HFCH64,Cliff 10 SE,Cliff 10 SE,18,,Tax on Purchases,,0,,,632,301
HFCH65,Camel Plus,Camel Plus,35,,Tax on Purchases,,0,,,632,301
HFCH66,Proffesor-K,Proffesor-K,11,,Tax on Purchases,,0,,,632,301
HFCH67,Biomin F,Biomin F,18,,Tax on Purchases,,0,,,632,301
HFCH68,Afifen 10.8 % EG,Afifen 10.8 % EG,34,,Tax on Purchases,,0,,,632,301
HFCH69,Mastercop 60 SC,Mastercop 60 SC,25,,Tax on Purchases,,0,,,632,301
HFCH70,Super U Trichoderma,Super U Trichoderma,0,,Tax on Purchases,,0,,,632,301
HFCH71,Avengelus Super C,Avengelus Super C,0,,Tax on Purchases,,0,,,632,301
HFCH72,Avengelus Basic,Avengelus Basic,0,,Tax on Purchases,,0,,,632,301
HFCH73,Prominent,Prominent,10,,Tax on Purchases,,0,,,632,301
HFCH74,Boron,Boron,2.3,,Zero Rated Purchases,,0,,,632,302
HFCH75,Hicure,Hicure,28,,Tax on Purchases,Hicure,0,,,632,301
HFCH76,Contest,Contest,65,,Tax on Purchases,EACBL 65 USD/LITRE,0,,,632,301
HFCH77,Myriad,Myriad,14,,Zero Rated Purchases,Myriad,0,,,632,301
HFCH78,Reason,Reason,9.5,,Zero Rated Purchases,Reason,0,,,632,301
HFFA01,Lamination Machine A4,Lamination Machine,8910,710,Tax on Purchases,,,,,,
HFFA02,Lamination Pouch A4,Lamination Pouch A4,930,420,Tax on Purchases,,,,,,
HFFE001,Souvenir 25kg,Souvenir 25kg,62.5,,Zero Rated Purchases,,0,,,633,302
HFFE002,Neptune Onion Seed,Neptune Onion Seed,20500,,Zero Rated Purchases,,0,,,633,302
HFFE003,Citric Acid,Citric Acid,1.5,,Zero Rated Purchases,,0,,,633,302
HFFE004,Sulphuruc Acid,Sulphuruc Acid,0.36,,Zero Rated Purchases,,0,,,633,302
HFFE005,Oligo Nila Premium 25Kg,Oligo Nila Premium 25Kg,162.5,,Zero Rated Purchases,,0,,,633,302
HFFE006,MKP,MKP,0,,Zero Rated Purchases,,0,,,633,302
HFFE007,MKP China,MKP China,1.4,,Zero Rated Purchases,,0,,,633,302
HFFE008,Aluminium Sulphate,Aluminium Sulphate,0.38,,Zero Rated Purchases,,0,,,633,302
HFFE009,Sulphur Gold 25Kg,Sulphur Gold 25Kg,62.5,,Zero Rated Purchases,,0,,,633,302
HFFE010,Calcium Nitrate,Calcium Nitrate,0.4,,Zero Rated Purchases,,0,,,633,302
HFFE011,Copper Sulphate Granules,Copper Sulphate Granules,3.5,,Zero Rated Purchases,,0,,,633,302
HFFE012,Manganese Sulphate,Manganese Sulphate,1.15,,Zero Rated Purchases,,0,,,633,302
HFFE013,Zinc Sulphate,Zinc Sulphate,6.61,,Zero Rated Purchases,,0,,,633,302
HFFE014,Magnesium Sulphate,Magnesium Sulphate,0.25,,Zero Rated Purchases,,0,,,633,302
HFFE015,Mon Potassium Phospphate,Mon Potassium Phospphate,1.4,,Zero Rated Purchases,,0,,,633,302
HFFE016,Mono Ammonium Phosphate,Mono Ammonium Phosphate,0.87,,Zero Rated Purchases,,0,,,633,302
HFFE017,NPK 0-52-34 M K P 25Kgs,NPK 0-52-34 M K P 25Kgs,1.55,,Zero Rated Purchases,,0,,,633,302
HFFE018,Potassium Nitrate 25Kg,Potassium Nitrate 25Kg,0.92,,Zero Rated Purchases,,0,,,633,302
HFFE019,CropNutrient Silicon Foliar Fertilizer 500Ml,CropNutrient Silicon Foliar Fertilizer 500Ml,400,,Zero Rated Purchases,,0,,,633,302
HFFE020,EACBL Trufert Humi,Trufert Humi,0,,Zero Rated Purchases,,0,,,633,302
ROSES VARIETIES,,,,,,,,,,,
HFFL01,"Athena,42cm,0 Boxes,0 Stems Per Box","Athena,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Athena,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL02,"Athena,52cm,0 Boxes,0 Stems Per Box","Athena,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Athena,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL04,"Athena,72cm,0 Boxes,0 Stems Per Box","Athena,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Athena,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL05,"Bellerose,42cm,0 Boxes,0 Stems Per Box","Bellerose,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Bellerose,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL06,"Bellerose,52cm,0 Boxes,0 Stems Per Box","Bellerose,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Bellerose,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
