*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
HFFLO29,"High & Magic,42cm,0 Boxes,0 Stems Per Box","High & Magic,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"High & Magic,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO30,"High & Magic,52cm,0 Boxes,0 Stems Per Box","High & Magic,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"High & Magic,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO31,"High & Magic,62cm,0 Boxes,0 Stems Per Box","High & Magic,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"High & Magic,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO32,"High & Magic,72cm,0 Boxes,0 Stems Per Box","High & Magic,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"High & Magic,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO33,"James Bond,42cm,0 Boxes,0 Stems Per Box","James Bond,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"James Bond,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO34,"James Bond,52cm,0 Boxes,0 Stems Per Box","James Bond,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"James Bond,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO35,"James Bond,62cm,0 Boxes,0 Stems Per Box","James Bond,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"James Bond,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO36,"James Bond,72cm,0 Boxes,0 Stems Per Box","James Bond,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"James Bond,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO37,"Jumilla,42cm,0 Boxes,0 Stems Per Box","Jumilla,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Jumilla,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO38,"Jumilla,52cm,0 Boxes,0 Stems Per Box","Jumilla,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Jumilla,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO39,"Jumilla,62cm,0 Boxes,0 Stems Per Box","Jumilla,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Jumilla,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO40,"Jumilla,72cm,0 Boxes,0 Stems Per Box","Jumilla,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Jumilla,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO41,"Kingsday,42cm,0 Boxes,0 Stems Per Box","Kingsday,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Kingsday,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO42,"Kingsday,52cm,0 Boxes,0 Stems Per Box","Kingsday,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Kingsday,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO43,"Kingsday,62cm,0 Boxes,0 Stems Per Box","Kingsday,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Kingsday,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO44,"Kingsday,72cm,0 Boxes,0 Stems Per Box","Kingsday,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Kingsday,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO45,"Labelle,42cm,0 Boxes,0 Stems Per Box","Labelle,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Labelle,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO46,"Labelle,52cm,0 Boxes,0 Stems Per Box","Labelle,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Labelle,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO47,"Labelle,62cm,0 Boxes,0 Stems Per Box","Labelle,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Labelle,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO48,"Labelle,72cm,0 Boxes,0 Stems Per Box","Labelle,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Labelle,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO49,"Lampion,42cm,0 Boxes,0 Stems Per Box","Lampion,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Lampion,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO50,"Lampion,52cm,0 Boxes,0 Stems Per Box","Lampion,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Lampion,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO51,"Lampion,62cm,0 Boxes,0 Stems Per Box","Lampion,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Lampion,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO52,"Lampion,72cm,0 Boxes,0 Stems Per Box","Lampion,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Lampion,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO53,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box","Madam Cerice,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO54,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box","Madam Cerice,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO55,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box","Madam Cerice,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO56,"Madam Cerice,72cm,0 Boxes,0 Stems Per Box","Madam Cerice,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Cerice,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO57,"Madam Red,42cm,0 Boxes,0 Stems Per Box","Madam Red,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Red,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO58,"Madam Red,52cm,0 Boxes,0 Stems Per Box","Madam Red,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Red,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO59,"Madam Red,62cm,0 Boxes,0 Stems Per Box","Madam Red,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Red,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO60,"Madam Red,72cm,0 Boxes,0 Stems Per Box","Madam Red,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Red,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO61,"Mixed Bouquet,42cm,0 Boxes,0 Stems Per Box","Mixed Bouquet,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mixed Bouquet,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO62,"Mixed Bouquet,52cm,0 Boxes,0 Stems Per Box","Mixed Bouquet,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mixed Bouquet,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO63,"Mixed Bouquet,62cm,0 Boxes,0 Stems Per Box","Mixed Bouquet,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mixed Bouquet,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO64,"Mixed Bouquet,72cm,0 Boxes,0 Stems Per Box","Mixed Bouquet,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mixed Bouquet,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO65,"Mixed Varieties,42cm,0 Boxes,0 Stems Per Box","Mixed Varieties,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mixed Varieties,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO66,"Mixed Varieties,52cm,0 Boxes,0 Stems Per Box","Mixed Varieties,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mixed Varieties,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO67,"Mixed Varieties,62cm,0 Boxes,0 Stems Per Box","Mixed Varieties,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mixed Varieties,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO68,"Mixed Varieties,72cm,0 Boxes,0 Stems Per Box","Mixed Varieties,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mixed Varieties,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO69,"Moonwalk,42cm,0 Boxes,0 Stems Per Box","Moonwalk,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Moonwalk,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO70,"Moonwalk,52cm,0 Boxes,0 Stems Per Box","Moonwalk,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Moonwalk,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO71,"Moonwalk,62cm,0 Boxes,0 Stems Per Box","Moonwalk,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Moonwalk,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO72,"Moonwalk,72cm,0 Boxes,0 Stems Per Box","Moonwalk,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Moonwalk,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO73,"Movie Star,42cm,0 Boxes,0 Stems Per Box","Movie Star,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Movie Star,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO74,"Movie Star,52cm,0 Boxes,0 Stems Per Box","Movie Star,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Movie Star,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO75,"Movie Star,62cm,0 Boxes,0 Stems Per Box","Movie Star,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Movie Star,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO76,"Movie Star,72cm,0 Boxes,0 Stems Per Box","Movie Star,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Movie Star,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO77,"Mult Red,42cm,0 Boxes,0 Stems Per Box","Mult Red,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mult Red,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO78,"Mult Red,52cm,0 Boxes,0 Stems Per Box","Mult Red,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mult Red,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO79,"Mult Red,62cm,0 Boxes,0 Stems Per Box","Mult Red,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mult Red,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO80,"Mult Red,72cm,0 Boxes,0 Stems Per Box","Mult Red,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Mult Red,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO81,"Nightingale,42cm,0 Boxes,0 Stems Per Box","Nightingale,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Nightingale,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO82,"Nightingale,52cm,0 Boxes,0 Stems Per Box","Nightingale,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Nightingale,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO83,"Nightingale,62cm,0 Boxes,0 Stems Per Box","Nightingale,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Nightingale,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO84,"Nightingale,72cm,0 Boxes,0 Stems Per Box","Nightingale,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Nightingale,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO85,"Previda,42cm,0 Boxes,0 Stems Per Box","Previda,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Previda,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO86,"Previda,52cm,0 Boxes,0 Stems Per Box","Previda,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Previda,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO87,"Previda,62cm,0 Boxes,0 Stems Per Box","Previda,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Previda,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO88,"Previda,72cm,0 Boxes,0 Stems Per Box","Previda,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Previda,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO89,"Revival,42cm,0 Boxes,0 Stems Per Box","Revival,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Revival,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO90,"Revival,52cm,0 Boxes,0 Stems Per Box","Revival,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Revival,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO91,"Revival,62cm,0 Boxes,0 Stems Per Box","Revival,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Revival,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO92,"Revival,72cm,0 Boxes,0 Stems Per Box","Revival,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Revival,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO93,"Rosa Mix,42cm,0 Boxes,0 Stems Per Box","Rosa Mix,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Rosa Mix,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO94,"Rosa Mix,52cm,0 Boxes,0 Stems Per Box","Rosa Mix,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Rosa Mix,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO95,"Rosa Mix,62cm,0 Boxes,0 Stems Per Box","Rosa Mix,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Rosa Mix,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO96,"Rosa Mix,72cm,0 Boxes,0 Stems Per Box","Rosa Mix,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Rosa Mix,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO97,"Sunny Confidential,42cm,0 Boxes,0 Stems Per Box","Sunny Confidential,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Sunny Confidential,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO98,"Sunny Confidential,52cm,0 Boxes,0 Stems Per Box","Sunny Confidential,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Sunny Confidential,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO99,"Sunny Confidential,62cm,0 Boxes,0 Stems Per Box","Sunny Confidential,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Sunny Confidential,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFOTHER001,Fuel,Fuel,0,417,Tax on Fuel,,,,,,
HFPM01,Flower Food,Flower Food,3.28,,Zero Rated Purchases,,0,,,634,303
HFPM02,Afri Label Florescent K09-Yellow,Afri Label Florescent K09-Yellow,0,,Tax on Purchases,,0,,,634,303
HFPM03,Afri Label Florescent K09-Green,Afri Label Florescent K09-Green,0,,Tax on Purchases,,0,,,634,303
HFPM04,Afri Label Florescent K09-Blue,Afri Label Florescent K09-Blue,0,,Tax on Purchases,,0,,,634,303
HFPM05,Afri Label Florescent K09-Orange,Afri Label Florescent K09-Orange,0,,Tax on Purchases,,0,,,634,303
HFPM06,Afri Label Florescent K09-Red,Afri Label Florescent K09-Red,0,,Tax on Purchases,,0,,,634,303
HFPM07,Pepeo Self Adhesive Label C09,Pepeo Self Adhesive Label C09,0,,Tax on Purchases,,0,,,634,303
HFPM08,Thermal Transfer Ribbon 110x300,Thermal Transfer Ribbon 110x300,3870,,Tax on Purchases,,0,,,634,303
HFPM09,Box Thermal Label Rolls,Box Thermal Label Rolls,0,,Tax on Purchases,,0,,,634,303
HFPM10,Heritage Soliq STD Boxes(Generic) Size 975x315x200,Heritage Soliq STD Boxes(Generic) Size 975x315x200,0,,Tax on Purchases,,0,,,634,303
HFPM11,Heritage Soliq STD Boxes(Generic) Size 990x330x200,Heritage Soliq STD Boxes(Generic) Size 990x330x200,0,,Tax on Purchases,,0,,,634,303
HFPM12,Bopp Plain 50x30x12,Bopp Plain 50x30x12,0,,Tax on Purchases,,0,,,634,303
HFPM13,Zein Box(100x39x25),Zein Box(100x39x25),0,,Tax on Purchases,,0,,,634,303
HFPM14,Brown SFK 6 (pcs),Brown SFK 6 (pcs),2,,Tax on Purchases,,0,,,634,303
HFPM15,Clear Sleeves 50x30x12,Clear Sleeves 50x30x12,2.34,,Tax on Purchases,,0,,,634,303
HFPM16,Clear Sleeves 60x30x12,Clear Sleeves 60x30x12,2.7,,Tax on Purchases,,0,,,634,303
HFPM17,Clear Sleeves 40x30x12,Clear Sleeves 40x30x12,1.9,,Tax on Purchases,,0,,,634,303
HFPM18,Standard Flower Boxes top and bottom,Standard Flower Boxes top and bottom,0,,Tax on Purchases,,0,,,634,303
HFPM19,Flight Colors,Flight Colors,0,,Tax on Purchases,,0,,,634,303
HFPM20,Heritage Sleeves 50x30x12,Heritage Sleeves 50x30x12,3.5,,Tax on Purchases,,0,,,634,303
HFPM21,Printed Heritage Sleeve 60x30x12,Printed Heritage Sleeve 60x30x12,4.5,,Tax on Purchases,,0,,,634,303
HFPM22,Printing Labels 4 Inch x 3 Inch,Printing Labels 4 Inch x 3 Inch,2300,,Tax on Purchases,"Elgon-KES 1.35 per piece
Modern-KES 2,300 per roll",0,,,634,303
HFPM23,Plain Label 70*99,Plain Label 70*99,0,,Tax on Purchases,,0,,,634,303
HFPM24,Rubber Bands/Kg,Rubber Bands/Kg,380,,Tax on Purchases,,0,,,634,303
HFPM25,Truck Seals,Truck Seals,27,,Tax on Purchases,,0,,,634,303
HFPM26,Printed Standard Flower Boxes 5Ply Top and Bottom,Printed Standard Flower Boxes 5Ply Top and Bottom,1.5,,Tax on Purchases,,0,,,634,303
HFPM27,Strapping roll,Strapping roll,2520,,Tax on Purchases,,0,,,634,303
HFPM28,Thermal Roll,Thermal Roll,0,,Tax on Purchases,,0,,,634,303
HFPM29,White Flute Green Size 200,White Flute Green Size 200,0,,Tax on Purchases,,0,,,634,303
HFPM30,White SFK Size 6 (Pcs),White SFK Size 6 (Pcs),3.9,,Tax on Purchases,,0,,,634,303
HFPM31,ZIMBOX(Flower Flow) Box,ZIMBOX(Flower Flow) Box,0,,Tax on Purchases,,0,,,634,303
HFPM32,"Printed ZIM BOXES 100X39X25, 5Ply Top and Bottom","Printed ZIM BOXES 100X39X25, 5Ply Top and Bottom",2.4,,Tax on Purchases,,0,,,634,303
HFPM33,Heritage Flowers Soliq ZIM Bot size 985X375X245MM,Heritage Flowers Soliq ZIM Bot size 985X375X245MM,0,,Tax on Purchases,,0,,,634,303
HFPM34,Zim Boxes Size 100x39x25 Top 3Ply Bottom 5Ply,Zim Boxes Size 100x39x25 Top 3Ply Bottom 5Ply,2.5,,Tax on Purchases,,0,,,634,303
HFPM35,Heritage Flowers Soliq ZIM Tops size 1000x390x250,Heritage Flowers Soliq ZIM Tops size 1000x390x250,0,,Tax on Purchases,,0,,,634,303
HFPM36,Clear Tapes 12mm X 50mm,Clear Tapes 12mm X 50mm,12.5,,Tax on Purchases,,0,,,634,303
HFPM37,Clear Sleeves 70x30x12,Clear Sleeves 70x30x12,2.9,,Tax on Purchases,Clear Sleeves 70x30x12,0,,,634,303
HFPM38,Zim Box Top & Bottom 5 Ply White 2 Color Printed,"Top 5 Ply White 2 color Printed-101x47x20cm 
Bottom 5 Ply Brown-98.5x47.5x19.5cm",210,,Tax on Purchases,Positive Packaging Price-227 KES,0,,,634,303
HFPPE01,Red Dust Coats,Red Dust Coats,985,,Tax on Purchases,,0,,,636,305
HFPPE02,PVC Hand Gloves,PVC Hand Gloves,320,,Tax on Purchases,,0,,,636,305
HFPPE03,Cold Store/Pack house Gloves,Cold Store/Pack house Gloves,0,,Tax on Purchases,,0,,,636,305
HFPPE04,Spray Suits,Spray Suits,2850,,Tax on Purchases,,0,,,636,305
HFPPE05,Googles,Googles,250,,Tax on Purchases,,0,,,636,305
HFPPE06,Respiratory Catridges,Respiratory Catridges,3850,,Tax on Purchases,,0,,,636,305
HFPPE07,Leather Gloves,Leather Gloves,425,,Tax on Purchases,,0,,,636,305
HFPPE08,Dust Masks,Dust Masks,5,,Tax on Purchases,,0,,,636,305
HFSE001,Victoria Seeds,Victoria,4900,315,Tax on Purchases,Victoria,0,,,,
HFSE002,Serenade Seeds,Serenade Seeds,6402,315,Tax on Purchases,Serenade Seeds,0,,,,
HFSE003,Habanero Seeds,Habanero Seeds,6605,315,Tax on Purchases,Habanero Seeds,0,,,,
HFST01,A5 Hard Cover 200 Pgs,A5 Hard Cover 200 Pgs,65,,Tax on Purchases,,0,,,635,421
HFST02,A6 Pocket Note Books,A6 Pocket Note Books,36,,Tax on Purchases,,0,,,635,421
HFST03,Canon BK GL 490 BK,Canon BK GL 490 BK,1800,,Tax on Purchases,,0,,,635,421
HFST04,Kangaroo Stapler DS-435,Kangaroo Stapler DS-435,0,,Tax on Purchases,,0,,,635,421
HFST05,Envelopes A5,Envelopes A5,3,,Tax on Purchases,,0,,,635,421
HFST06,Envelopes A4,Envelopes A4,4,,Tax on Purchases,,0,,,635,421
HFST07,Box File,Box File,150,,Tax on Purchases,,0,,,635,421
HFST08,Highlighter Pen,Highlighter Pen,72,,Tax on Purchases,,0,,,635,421
HFST09,Hp Ink Cartridge,Hp Ink Cartridge,0,,Tax on Purchases,,0,,,635,421
HFST10,HP Toner W200A,HP Toner W200A,0,,Tax on Purchases,,0,,,635,421
HFST11,Office Calculators,Office Calculators,0,,Tax on Purchases,,0,,,635,421
HFST12,Kangaroo Paper Punch,Kangaroo Paper Punch,250,,Tax on Purchases,,0,,,635,421
HFST13,Printing Papers,Printing Papers,0,,Tax on Purchases,,0,,,635,421
HFST14,2 Quire Book Counter,2 Quire Book Counter,0,,Tax on Purchases,,0,,,635,421
HFST15,Stapler HD 45,Stapler HD 45,0,,Tax on Purchases,,0,,,635,421
HFST16,Staple pins 24/6,Staple pins 24/6,117,,Tax on Purchases,,0,,,635,421
HFST17,Staple pins 73/12,Staple pins 73/12,1030,,Tax on Purchases,,0,,,635,421
HFST18,GRN Books,GRN Books,0,,Tax on Purchases,,0,,,635,421
HFST19,Permanent Mark Pens,Permanent Mark Pens,0,,Tax on Purchases,,0,,,635,421
HFST20,Biro Pens,Biro Pens,7,,Tax on Purchases,,0,,,635,421
HFST21,Stores Requisition Books,Stores Requisition Books,0,,Tax on Purchases,,0,,,635,421
Security Services,Security Services,Security Services,0,416,Tax on Purchases,,,,,,
Total Boxes,Total Boxes-,,,,,Total Boxes,0,,,,
Total Stems,Total Stems-,,,,,Total Stems,0,,,,
XERO,XERO,XERO,0,431,No Tax,,,,,,
XX,NONE,"Madame Red 50cm,0 Boxes,0 Stems Per Box.",0,,,"Madame Red 50cm,0 Boxes,0 Stems Per Box.",0,200,,630,300
XXX,None,"Madam Red 42cm,0 Boxes,0 Stems Per Box.",0,,Tax Exempt,"Madam Red 42cm,0 Boxes,0 Stems Per Box.",0,200,,630,300
XXX.,NONE,Splendid,1000,,Tax on Purchases,Splendid,0,,,630,301
XXX..,NONE,Flower Test,0,,Tax on Purchases,Flower Test,100,200,Zero Rated Sales,630,300
XXXX,NONE,"Madame Red 60cm,0 Boxes,0 Stems Per Box.",0,,Tax Exempt,"Madame Red 60cm,0 Boxes,0 Stems Per Box.",0,200,,630,300
